year,state,disability,total_6to21,el_yes,el_no,aian,black,hisp,tworace,white,api,total_ethnicity
2015,Alabama,All Disabilities,76910,2102,74808,555,29067,3735,1288,41790,475,76910
2015,Alabama,Autism,6208,109,6099,32,1853,226,121,3903,73,6208
2015,Alabama,Deaf-blindness,15,0,15,0,3,1,0,11,0,15
2015,Alabama,Developmental delay,3080,146,2934,13,1169,216,79,1573,30,3080
2015,Alabama,Emotional disturbance,1348,6,1342,5,541,30,24,748,0,1348
2015,Alabama,Hearing impairment,926,50,876,7,326,71,9,493,20,926
2015,Alabama,Intellectual disability,6357,199,6158,30,3204,242,68,2777,36,6357
2015,Alabama,Multiple disabilities,1230,28,1202,5,464,64,11,670,16,1230
2015,Alabama,Orthopedic impairment,537,16,521,3,161,29,11,320,13,537
2015,Alabama,Other health impairment,10754,135,10619,75,3868,300,213,6255,43,10754
2015,Alabama,Specific learning disability,32392,1018,31374,286,13423,1788,465,16310,120,32392
2015,Alabama,Speech or language impairment,13316,384,12932,92,3800,735,275,8301,113,13316
2015,Alabama,Traumatic brain injury,254,4,250,3,91,12,5,142,1,254
2015,Alabama,Visual impairment,493,7,486,4,164,21,7,287,10,493
2015,Alaska,All Disabilities,16275,2502,13773,4692,630,1176,1854,6975,948,16275
2015,Alaska,Autism,1207,81,1126,139,36,84,132,730,86,1207
2015,Alaska,Deaf-blindness,2,0,2,1,0,0,0,0,1,2
2015,Alaska,Developmental delay,1114,163,951,361,45,81,168,398,61,1114
2015,Alaska,Emotional disturbance,665,58,607,172,29,36,86,321,21,665
2015,Alaska,Hearing impairment,165,23,142,43,7,15,11,57,32,165
2015,Alaska,Intellectual disability,606,118,488,217,25,43,54,215,52,606
2015,Alaska,Multiple disabilities,467,50,417,153,14,25,56,189,30,467
2015,Alaska,Orthopedic impairment,63,5,58,10,3,1,5,35,9,63
2015,Alaska,Other health impairment,2499,169,2330,628,116,156,316,1229,54,2499
2015,Alaska,Specific learning disability,7146,1520,5626,2367,301,570,746,2694,468,7146
2015,Alaska,Speech or language impairment,2257,311,1946,583,48,160,272,1065,129,2257
2015,Alaska,Traumatic brain injury,43,2,41,8,3,2,5,23,2,43
2015,Alaska,Visual impairment,41,2,39,10,3,3,3,19,3,41
2015,American Samoa,All Disabilities,616,616,0,0,0,0,0,0,NA,0
2015,American Samoa,Autism,6,6,0,0,0,0,0,0,NA,0
2015,American Samoa,Deaf-blindness,0,0,0,0,0,0,0,0,NA,0
2015,American Samoa,Developmental delay,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2015,American Samoa,Emotional disturbance,0,0,0,0,0,0,0,0,NA,0
2015,American Samoa,Hearing impairment,5,5,0,0,0,0,0,0,NA,0
2015,American Samoa,Intellectual disability,7,7,0,0,0,0,0,0,NA,0
2015,American Samoa,Multiple disabilities,67,67,0,0,0,0,0,0,NA,0
