year,state,disability,total_6to21,el_yes,el_no,aian,black,hisp,tworace,white,api,total_ethnicity
2013,ALABAMA,All Disabilities,73565,1743,71822,535,28895,2751,894,40049,441,73565
2013,ALABAMA,Autism,5437,78,5359,33,1622,138,79,3508,57,5437
2013,ALABAMA,Deaf-blindness,10,0,10,0,1,0,0,9,0,10
2013,ALABAMA,Developmental delay (valid only for children ages 3-9 when defined by state),2914,130,2784,13,1169,172,71,1461,28,2914
2013,ALABAMA,Emotional disturbance,1322,5,1317,6,495,20,24,776,1,1322
2013,ALABAMA,Hearing impairment,895,35,860,6,322,51,8,495,13,895
2013,ALABAMA,Intellectual disability,6104,128,5976,38,3127,165,38,2702,34,6104
2013,ALABAMA,Multiple disabilities,1284,21,1263,6,489,52,12,715,10,1284
2013,ALABAMA,Orthopedic impairment,566,12,554,4,165,24,7,357,9,566
2013,ALABAMA,Other health impairment,9447,93,9354,67,3454,193,140,5555,38,9447
2013,ALABAMA,Specific learning disability,31647,890,30757,251,13986,1357,264,15668,121,31647
2013,ALABAMA,Speech or language impairment,13227,339,12888,104,3835,558,238,8374,118,13227
2013,ALABAMA,Traumatic brain injury,231,3,228,3,91,6,3,126,2,231
2013,ALABAMA,Visual impairment,481,9,472,4,139,15,10,303,10,481
2013,ALASKA,All Disabilities,15858,2403,13455,4691,679,1098,1530,6950,910,15858
2013,ALASKA,Autism,1004,66,938,116,36,70,87,622,73,1004
2013,ALASKA,Deaf-blindness,4,0,4,2,0,0,0,1,1,4
2013,ALASKA,Developmental delay (valid only for children ages 3-9 when defined by state),1038,145,893,318,37,80,122,427,54,1038
2013,ALASKA,Emotional disturbance,643,40,603,154,40,40,77,314,18,643
2013,ALASKA,Hearing impairment,162,26,136,43,5,15,13,56,30,162
2013,ALASKA,Intellectual disability,598,121,477,209,26,43,56,217,47,598
2013,ALASKA,Multiple disabilities,432,47,385,154,15,21,34,182,26,432
2013,ALASKA,Orthopedic impairment,61,5,56,13,2,3,5,32,6,61
2013,ALASKA,Other health impairment,2445,151,2294,609,115,158,242,1259,62,2445
2013,ALASKA,Specific learning disability,7089,1443,5646,2394,341,514,663,2744,433,7089
2013,ALASKA,Speech or language impairment,2293,353,1940,659,56,150,220,1051,157,2293
2013,ALASKA,Traumatic brain injury,47,3,44,14,4,1,7,20,1,47
2013,ALASKA,Visual impairment,42,3,39,6,2,3,4,25,2,42
2013,AMERICAN SAMOA,All Disabilities,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2013,AMERICAN SAMOA,Autism,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2013,AMERICAN SAMOA,Deaf-blindness,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2013,AMERICAN SAMOA,Developmental delay (valid only for children ages 3-9 when defined by state),NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2013,AMERICAN SAMOA,Emotional disturbance,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2013,AMERICAN SAMOA,Hearing impairment,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2013,AMERICAN SAMOA,Intellectual disability,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2013,AMERICAN SAMOA,Multiple disabilities,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2013,AMERICAN SAMOA,Orthopedic impairment,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2013,AMERICAN SAMOA,Other health impairment,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2013,AMERICAN SAMOA,Specific learning disability,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2013,AMERICAN SAMOA,Speech or language impairment,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2013,AMERICAN SAMOA,Traumatic brain injury,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2013,AMERICAN SAMOA,Visual impairment,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2013,ARIZONA,All Disabilities,114523,8940,105583,7431,7669,49450,2202,45984,1787,114523
2013,ARIZONA,Autism,9385,215,9170,315,565,2856,223,5111,315,9385
2013,ARIZONA,Deaf-blindness,129,2,127,8,6,63,1,50,1,129
2013,ARIZONA,Developmental delay (valid only for children ages 3-9 when defined by state),4653,929,3724,339,271,2366,104,1496,77,4653
2013,ARIZONA,Emotional disturbance,7543,146,7397,393,914,2019,222,3949,46,7543
2013,ARIZONA,Hearing impairment,1433,53,1380,81,63,694,18,522,55,1433
2013,ARIZONA,Intellectual disability,7142,242,6900,543,613,3349,98,2366,173,7142
2013,ARIZONA,Multiple disabilities,2158,52,2106,190,124,902,33,855,54,2158
2013,ARIZONA,Orthopedic impairment,642,35,607,19,21,247,5,332,18,642
2013,ARIZONA,Other health impairment,9823,369,9454,391,740,2878,197,5488,129,9823
2013,ARIZONA,Specific learning disability,52446,4537,47909,4112,3549,25859,870,17510,546,52446
2013,ARIZONA,Speech or language impairment,18322,2331,15991,942,754,7924,419,7930,353,18322
2013,ARIZONA,Traumatic brain injury,336,12,324,46,25,115,5,142,3,336
2013,ARIZONA,Visual impairment,511,17,494,52,24,178,7,233,17,511
2013,ARKANSAS,All Disabilities,52637,3367,49270,413,12665,4799,1062,33146,552,52637
2013,ARKANSAS,Autism,3494,182,3312,22,492,264,92,2548,76,3494
2013,ARKANSAS,Deaf-blindness,4,0,4,0,2,1,0,1,0,4
2013,ARKANSAS,Developmental delay (valid only for children ages 3-9 when defined by state),NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2013,ARKANSAS,Emotional disturbance,743,20,723,11,125,46,22,535,4,743
2013,ARKANSAS,Hearing impairment,439,50,389,2,78,68,5,261,25,439
2013,ARKANSAS,Intellectual disability,5575,364,5211,35,2018,511,87,2865,59,5575
2013,ARKANSAS,Multiple disabilities,1356,60,1296,7,297,116,19,897,20,1356
2013,ARKANSAS,Orthopedic impairment,184,15,169,2,30,17,3,130,2,184
2013,ARKANSAS,Other health impairment,9806,207,9599,78,2322,435,198,6730,43,9806
2013,ARKANSAS,Specific learning disability,18058,1360,16698,165,4516,1843,292,11110,132,18058
2013,ARKANSAS,Speech or language impairment,12628,1088,11540,88,2693,1473,338,7854,182,12628
2013,ARKANSAS,Traumatic brain injury,156,9,147,2,39,12,5,96,2,156
2013,ARKANSAS,Visual impairment,194,12,182,1,53,13,1,119,7,194
2013,BUREAU OF INDIAN EDUCATION,All Disabilities,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2013,BUREAU OF INDIAN EDUCATION,Autism,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2013,BUREAU OF INDIAN EDUCATION,Deaf-blindness,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2013,BUREAU OF INDIAN EDUCATION,Developmental delay (valid only for children ages 3-9 when defined by state),NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2013,BUREAU OF INDIAN EDUCATION,Emotional disturbance,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2013,BUREAU OF INDIAN EDUCATION,Hearing impairment,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2013,BUREAU OF INDIAN EDUCATION,Intellectual disability,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2013,BUREAU OF INDIAN EDUCATION,Multiple disabilities,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2013,BUREAU OF INDIAN EDUCATION,Orthopedic impairment,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2013,BUREAU OF INDIAN EDUCATION,Other health impairment,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2013,BUREAU OF INDIAN EDUCATION,Specific learning disability,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2013,BUREAU OF INDIAN EDUCATION,Speech or language impairment,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2013,BUREAU OF INDIAN EDUCATION,Traumatic brain injury,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2013,BUREAU OF INDIAN EDUCATION,Visual impairment,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2013,CALIFORNIA,All Disabilities,622602,192689,429913,4767,60203,337876,15985,164684,39087,622602
2013,CALIFORNIA,Autism,69005,14585,54420,366,5233,27311,2302,23952,9841,69005
2013,CALIFORNIA,Deaf-blindness,97,21,76,0,4,45,4,32,12,97
2013,CALIFORNIA,Developmental delay (valid only for children ages 3-9 when defined by state),NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2013,CALIFORNIA,Emotional disturbance,24326,2723,21603,295,4298,8285,929,9737,782,24326
2013,CALIFORNIA,Hearing impairment,10729,3156,7573,41,605,6176,252,2520,1135,10729
2013,CALIFORNIA,Intellectual disability,38651,13781,24870,245,3859,22430,750,8078,3289,38651
2013,CALIFORNIA,Multiple disabilities,5103,1297,3806,21,463,2483,139,1470,527,5103
2013,CALIFORNIA,Orthopedic impairment,10713,3120,7593,63,733,5548,210,3251,908,10713
2013,CALIFORNIA,Other health impairment,66973,11964,55009,550,8533,27637,2055,25508,2690,66973
2013,CALIFORNIA,Specific learning disability,280903,105164,175739,2351,29622,175851,5470,57861,9748,280903
