year,state,disability,total_6to21,el_yes,el_no,aian,black,hisp,tworace,white,api,total_ethnicity
2018,Alabama,All Disabilities,85436,3424,82012,731,31528,5496,1833,45220,628,85436
2018,Alabama,Autism,7465,205,7260,40,2213,387,183,4548,94,7465
2018,Alabama,Deaf-blindness,12,0,12,0,1,1,1,8,1,12
2018,Alabama,Developmental delay,3419,207,3212,16,1324,299,76,1662,42,3419
2018,Alabama,Emotional disturbance,1406,13,1393,11,527,40,24,803,1,1406
2018,Alabama,Hearing impairment,894,60,834,8,288,91,16,472,19,894
2018,Alabama,Intellectual disability,7014,315,6699,40,3548,388,96,2888,54,7014
2018,Alabama,Multiple disabilities,1251,33,1218,6,453,67,22,687,16,1251
2018,Alabama,Orthopedic impairment,508,26,482,2,162,32,11,290,11,508
2018,Alabama,Other health impairment,12819,228,12591,96,4849,466,326,7009,73,12819
2018,Alabama,Specific learning disability,35963,1782,34181,359,14121,2817,693,17814,159,35963
2018,Alabama,Speech or language impairment,13916,527,13389,146,3786,865,367,8612,140,13916
2018,Alabama,Traumatic brain injury,272,7,265,2,101,15,6,147,1,272
2018,Alabama,Visual impairment,497,21,476,5,155,28,12,280,17,497
2018,Alaska,All Disabilities,17002,2406,14596,4742,535,1193,2278,7197,1057,17002
2018,Alaska,Autism,1451,114,1337,184,35,107,208,802,115,1451
2018,Alaska,Deaf-blindness,3,0,3,1,0,0,0,1,1,3
2018,Alaska,Developmental delay,1251,175,1076,361,37,87,197,471,98,1251
2018,Alaska,Emotional disturbance,745,51,694,175,20,41,121,372,16,745
2018,Alaska,Hearing impairment,161,23,138,46,7,8,17,60,23,161
2018,Alaska,Intellectual disability,568,126,442,230,19,37,59,170,53,568
2018,Alaska,Multiple disabilities,576,66,510,175,24,42,68,220,47,576
2018,Alaska,Orthopedic impairment,52,3,49,10,1,1,10,26,4,52
2018,Alaska,Other health impairment,2662,202,2460,650,111,180,396,1257,68,2662
2018,Alaska,Specific learning disability,7026,1361,5665,2297,238,523,905,2587,476,7026
2018,Alaska,Speech or language impairment,2422,273,2149,586,38,161,285,1201,151,2422
2018,Alaska,Traumatic brain injury,36,3,33,10,3,3,8,11,1,36
2018,Alaska,Visual impairment,49,9,40,17,2,3,4,19,4,49
2018,American Samoa,All Disabilities,505,505,0,0,0,0,NA,NA,500,500
2018,American Samoa,Autism,12,12,0,0,0,0,NA,NA,10,10
2018,American Samoa,Deaf-blindness,3,3,0,0,0,0,NA,NA,3,3
2018,American Samoa,Developmental delay,0,0,0,0,0,0,NA,NA,0,0
2018,American Samoa,Emotional disturbance,0,0,0,0,0,0,NA,NA,0,0
2018,American Samoa,Hearing impairment,1,1,0,0,0,0,NA,NA,1,1
2018,American Samoa,Intellectual disability,10,10,0,0,0,0,NA,NA,9,9
2018,American Samoa,Multiple disabilities,24,24,0,0,0,0,NA,NA,24,24
2018,American Samoa,Orthopedic impairment,3,3,0,0,0,0,NA,NA,3,3
2018,American Samoa,Other health impairment,0,0,0,0,0,0,NA,NA,0,0
2018,American Samoa,Specific learning disability,443,443,0,0,0,0,NA,NA,441,441
2018,American Samoa,Speech or language impairment,4,4,0,0,0,0,NA,NA,4,4
2018,American Samoa,Traumatic brain injury,0,0,0,0,0,0,NA,NA,0,0
2018,American Samoa,Visual impairment,5,5,0,0,0,0,NA,NA,5,5
2018,Arizona,All Disabilities,128066,10593,117473,7719,8534,58095,4155,47595,1968,128066
2018,Arizona,Autism,13443,446,12997,449,772,4837,522,6407,456,13443
2018,Arizona,Deaf-blindness,127,4,123,6,5,57,2,54,3,127
2018,Arizona,Developmental delay,6928,1132,5796,525,457,3402,259,2156,129,6928
2018,Arizona,Emotional disturbance,7742,200,7542,383,913,2370,364,3657,55,7742
2018,Arizona,Hearing impairment,1256,95,1161,70,55,654,34,405,38,1256
2018,Arizona,Intellectual disability,7480,401,7079,548,701,3769,173,2147,142,7480
2018,Arizona,Multiple disabilities,2141,62,2079,158,104,972,61,793,53,2141
2018,Arizona,Orthopedic impairment,530,37,493,24,22,206,16,243,19,530
2018,Arizona,Other health impairment,13041,507,12534,436,982,4349,518,6612,144,13041
2018,Arizona,Specific learning disability,56487,5607,50880,4171,3703,29064,1547,17447,555,56487
2018,Arizona,Speech or language impairment,18095,2063,16032,877,772,8091,641,7357,357,18095
2018,Arizona,Traumatic brain injury,298,13,285,33,19,119,9,114,4,298
2018,Arizona,Visual impairment,498,26,472,39,29,205,9,203,13,498
2018,Arkansas,All Disabilities,61366,5739,55627,411,14129,7130,1659,37214,823,61366
2018,Arkansas,Autism,4982,453,4529,35,765,551,166,3347,118,4982
2018,Arkansas,Deaf-blindness,4,0,4,0,1,0,1,2,0,4
2018,Arkansas,Developmental delay,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2018,Arkansas,Emotional disturbance,1070,32,1038,6,210,76,55,716,7,1070
2018,Arkansas,Hearing impairment,427,64,363,2,85,81,7,228,24,427
2018,Arkansas,Intellectual disability,7381,719,6662,45,2554,853,167,3644,118,7381
2018,Arkansas,Multiple disabilities,1358,105,1253,8,258,152,35,874,31,1358
2018,Arkansas,Orthopedic impairment,177,9,168,1,27,10,5,128,6,177
2018,Arkansas,Other health impairment,12368,527,11841,83,2835,833,357,8193,67,12368
2018,Arkansas,Specific learning disability,19612,2231,17381,131,4617,2728,488,11462,186,19612
2018,Arkansas,Speech or language impairment,13574,1561,12013,95,2686,1806,362,8377,248,13574
2018,Arkansas,Traumatic brain injury,177,18,159,4,34,23,8,106,2,177
2018,Arkansas,Visual impairment,236,20,216,1,57,17,8,137,16,236
2018,Bureau of Indian Education,All Disabilities,6514,823,5691,6514,0,0,0,0,0,6514
2018,Bureau of Indian Education,Autism,288,24,264,288,0,0,0,0,0,288
2018,Bureau of Indian Education,Deaf-blindness,0,0,0,0,0,0,0,0,0,0
2018,Bureau of Indian Education,Developmental delay,451,36,415,451,0,0,0,0,0,451
2018,Bureau of Indian Education,Emotional disturbance,295,38,257,295,0,0,0,0,0,295
2018,Bureau of Indian Education,Hearing impairment,47,4,43,47,0,0,0,0,0,47
2018,Bureau of Indian Education,Intellectual disability,326,49,277,326,0,0,0,0,0,326
2018,Bureau of Indian Education,Multiple disabilities,143,10,133,143,0,0,0,0,0,143
2018,Bureau of Indian Education,Orthopedic impairment,21,1,20,21,0,0,0,0,0,21
2018,Bureau of Indian Education,Other health impairment,655,105,550,655,0,0,0,0,0,655
