year,state,disability,total_6to21,aian,api,black,hisp,white,total_ethnicity
2007,"50 states, D.C.  (including BIE schools)",Mental retardation,487175,6422,10725,155103,72754,240316,485320
2007,"50 states, D.C.  (including BIE schools)",Hearing impairments,71128,855,3742,11516,16569,38269,70951
2007,"50 states, D.C.  (including BIE schools)",Speech or language impairments,1135638,15589,37321,174807,207146,697406,1132269
2007,"50 states, D.C.  (including BIE schools)",Visual impairments,25801,338,1068,4404,4774,15138,25722
2007,"50 states, D.C.  (including BIE schools)",Emotional disturbance,438349,7038,5038,126338,50414,247675,436503
2007,"50 states, D.C.  (including BIE schools)",Orthopedic impairments,59941,610,2219,8575,13088,35328,59820
2007,"50 states, D.C.  (including BIE schools)",Other health impairments,624688,7954,9521,110906,65008,428554,621943
2007,"50 states, D.C.  (including BIE schools)",Specific learning disabilities,2559722,44815,44527,528205,564879,1370651,2553077
2007,"50 states, D.C.  (including BIE schools)",Deaf-blindness,1310,25,55,169,251,804,1304
2007,"50 states, D.C.  (including BIE schools)",Multiple disabilities,131263,1647,3686,27340,17721,80456,130850
2007,"50 states, D.C.  (including BIE schools)",Autism,256575,1905,14080,36246,31651,171805,255687
2007,"50 states, D.C.  (including BIE schools)",Traumatic brain injury,23812,373,579,3877,3191,15725,23745
2007,"50 states, D.C.  (including BIE schools)",Developmental delay,88557,3213,2435,20186,9123,53115,88072
2007,"50 states, D.C.  (including BIE schools)",All disabilities,5903959,90784,134996,1207672,1056569,3395242,5885263
2007,Alabama,Mental retardation,7213,40,22,3746,102,3303,7213
2007,Alabama,Hearing impairments,915,11,8,367,37,492,915
2007,Alabama,Speech or language impairments,15401,100,91,5213,290,9707,15401
2007,Alabama,Visual impairments,457,NA,NA,162,NA,272,434
2007,Alabama,Emotional disturbance,1667,5,0,605,21,1036,1667
2007,Alabama,Orthopedic impairments,597,NA,NA,183,13,393,589
2007,Alabama,Other health impairments,6027,45,18,1829,71,4064,6027
2007,Alabama,Specific learning disabilities,38882,274,120,18416,905,19167,38882
2007,Alabama,Deaf-blindness,5,0,0,NA,0,NA,0
2007,Alabama,Multiple disabilities,1286,6,13,531,26,710,1286
2007,Alabama,Autism,2509,17,22,826,39,1605,2509
2007,Alabama,Traumatic brain injury,237,NA,NA,NA,NA,NA,0
2007,Alabama,Developmental delay,2465,12,23,1032,70,1328,2465
2007,Alabama,All disabilities,77661,528,324,32989,1587,42233,77661
2007,Alaska,Mental retardation,689,244,44,38,45,281,652
2007,Alaska,Hearing impairments,145,40,17,NA,NA,69,126
2007,Alaska,Speech or language impairments,2749,960,135,92,135,1290,2612
2007,Alaska,Visual impairments,37,NA,0,NA,NA,NA,0
2007,Alaska,Emotional disturbance,732,178,8,54,41,389,670
2007,Alaska,Orthopedic impairments,71,19,NA,5,NA,36,60
2007,Alaska,Other health impairments,1733,451,57,97,82,940,1627
2007,Alaska,Specific learning disabilities,7410,2404,294,362,467,3395,6922
2007,Alaska,Deaf-blindness,8,NA,NA,0,0,NA,0
2007,Alaska,Multiple disabilities,390,145,15,17,15,175,367
2007,Alaska,Autism,507,58,23,15,39,339,474
2007,Alaska,Traumatic brain injury,65,16,NA,NA,NA,35,51
2007,Alaska,Developmental delay,1045,347,48,45,73,447,960
2007,Alaska,All disabilities,15581,4876,649,732,922,7420,14599
2007,American Samoa,Mental retardation,22,0,NA,NA,0,0,0
2007,American Samoa,Hearing impairments,12,NA,NA,0,0,0,0
2007,American Samoa,Speech or language impairments,19,0,NA,0,0,NA,0
2007,American Samoa,Visual impairments,NA,NA,NA,0,0,NA,0
2007,American Samoa,Emotional disturbance,0,0,0,0,0,0,0
2007,American Samoa,Orthopedic impairments,0,NA,NA,NA,NA,0,0
2007,American Samoa,Other health impairments,0,0,0,0,0,0,0
2007,American Samoa,Specific learning disabilities,906,0,NA,0,0,NA,0
2007,American Samoa,Deaf-blindness,NA,0,NA,0,NA,0,0
2007,American Samoa,Multiple disabilities,29,0,29,0,0,0,29
2007,American Samoa,Autism,NA,NA,NA,0,0,0,0
2007,American Samoa,Traumatic brain injury,NA,NA,NA,NA,0,0,0
2007,American Samoa,Developmental delay,0,NA,NA,NA,0,NA,0
2007,American Samoa,All disabilities,1002,0,NA,0,0,NA,0
2007,Arizona,Mental retardation,8048,623,138,689,3647,2951,8048
2007,Arizona,Hearing impairments,1577,127,60,61,631,698,1577
2007,Arizona,Speech or language impairments,20484,1202,441,1027,7928,9886,20484
2007,Arizona,Visual impairments,579,64,NA,NA,202,268,534
2007,Arizona,Emotional disturbance,7666,394,60,873,1608,4731,7666
2007,Arizona,Orthopedic impairments,810,49,18,42,272,429,810
2007,Arizona,Other health impairments,6899,295,81,496,1540,4487,6899
2007,Arizona,Specific learning disabilities,55909,5006,495,3730,24623,22055,55909
2007,Arizona,Deaf-blindness,6,NA,0,0,NA,NA,0
2007,Arizona,Multiple disabilities,1873,181,41,106,681,864,1873
2007,Arizona,Autism,4609,131,163,281,1097,2937,4609
2007,Arizona,Traumatic brain injury,297,NA,NA,NA,NA,NA,0
2007,Arizona,Developmental delay,0,0,0,0,0,0,0
2007,Arizona,All disabilities,108757,8106,1515,7356,42326,49454,108757
2007,Arkansas,Mental retardation,7923,35,35,3373,340,4140,7923
2007,Arkansas,Hearing impairments,559,NA,NA,116,62,366,544
2007,Arkansas,Speech or language impairments,12142,106,144,2559,760,8573,12142
2007,Arkansas,Visual impairments,216,NA,NA,45,11,155,211
2007,Arkansas,Emotional disturbance,817,NA,NA,164,29,617,810
2007,Arkansas,Orthopedic impairments,198,NA,NA,NA,8,146,154
2007,Arkansas,Other health impairments,8079,58,22,1606,198,6195,8079
2007,Arkansas,Specific learning disabilities,20912,191,83,5563,1411,13664,20912
2007,Arkansas,Deaf-blindness,8,0,0,NA,0,NA,0
2007,Arkansas,Multiple disabilities,1311,6,8,346,67,884,1311
2007,Arkansas,Autism,1837,16,32,269,64,1456,1837
2007,Arkansas,Traumatic brain injury,168,NA,NA,40,8,NA,48
2007,Arkansas,Developmental delay,0,0,0,0,0,0,0
2007,Arkansas,All disabilities,54170,426,346,14122,2958,36318,54170
2007,BIE schools,Mental retardation,394,394,0,0,0,0,394
2007,BIE schools,Hearing impairments,41,NA,0,0,0,NA,0
