year,state,disability,total_6to21,el_yes,el_no,aian,black,hisp,tworace,white,api,total_ethnicity
2016,Alabama,All Disabilities,79196,2356,76840,628,29727,4374,1520,42426,521,79196
2016,Alabama,Autism,6565,143,6422,38,1966,282,143,4056,80,6565
2016,Alabama,Deaf-blindness,15,1,14,0,1,2,1,11,0,15
2016,Alabama,Developmental delay,3238,169,3069,18,1231,255,85,1623,26,3238
2016,Alabama,Emotional disturbance,1333,8,1325,6,553,33,22,717,2,1333
2016,Alabama,Hearing impairment,929,51,878,7,322,83,10,489,18,929
2016,Alabama,Intellectual disability,6527,253,6274,34,3258,322,83,2786,44,6527
2016,Alabama,Multiple disabilities,1221,25,1196,4,448,58,19,674,18,1221
2016,Alabama,Orthopedic impairment,527,18,509,2,149,29,14,322,11,527
2016,Alabama,Other health impairment,11340,154,11186,90,4132,370,249,6448,51,11340
2016,Alabama,Specific learning disability,33556,1133,32423,310,13648,2132,556,16774,136,33556
2016,Alabama,Speech or language impairment,13217,388,12829,112,3770,769,323,8122,121,13217
2016,Alabama,Traumatic brain injury,259,5,254,2,92,14,6,143,2,259
2016,Alabama,Visual impairment,469,8,461,5,157,25,9,261,12,469
2016,Alaska,All Disabilities,16490,2484,14006,4720,608,1173,2017,6993,979,16490
2016,Alaska,Autism,1325,88,1237,166,39,81,177,766,96,1325
2016,Alaska,Deaf-blindness,3,0,3,0,0,0,1,1,1,3
2016,Alaska,Developmental delay,1188,168,1020,377,32,78,195,437,69,1188
2016,Alaska,Emotional disturbance,663,59,604,170,18,40,92,322,21,663
2016,Alaska,Hearing impairment,146,17,129,42,9,11,13,48,23,146
2016,Alaska,Intellectual disability,586,130,456,220,27,37,51,196,55,586
2016,Alaska,Multiple disabilities,495,56,439,156,19,33,49,202,36,495
2016,Alaska,Orthopedic impairment,58,4,54,10,0,1,5,34,8,58
2016,Alaska,Other health impairment,2553,186,2367,616,118,175,352,1228,64,2553
2016,Alaska,Specific learning disability,7129,1468,5661,2343,295,560,813,2653,465,7129
2016,Alaska,Speech or language impairment,2269,302,1967,602,45,154,262,1071,135,2269
2016,Alaska,Traumatic brain injury,38,1,37,8,4,1,4,19,2,38
2016,Alaska,Visual impairment,37,5,32,10,2,2,3,16,4,37
2016,American Samoa,All Disabilities,570,570,0,0,0,0,0,0,NA,0
2016,American Samoa,Autism,10,10,0,0,0,0,0,0,NA,0
2016,American Samoa,Deaf-blindness,0,0,0,0,0,0,0,0,NA,0
2016,American Samoa,Developmental delay,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2016,American Samoa,Emotional disturbance,0,0,0,0,0,0,0,0,NA,0
2016,American Samoa,Hearing impairment,4,4,0,0,0,0,0,0,NA,0
2016,American Samoa,Intellectual disability,9,9,0,0,0,0,0,0,NA,0
2016,American Samoa,Multiple disabilities,62,62,0,0,0,0,0,0,NA,0
2016,American Samoa,Orthopedic impairment,3,3,0,0,0,0,0,0,NA,0
2016,American Samoa,Other health impairment,2,2,0,0,0,0,0,0,NA,0
2016,American Samoa,Specific learning disability,468,468,0,0,0,0,0,0,NA,0
2016,American Samoa,Speech or language impairment,4,4,0,0,0,0,0,0,NA,0
2016,American Samoa,Traumatic brain injury,0,0,0,0,0,0,0,0,NA,0
2016,American Samoa,Visual impairment,8,8,0,0,0,0,0,0,NA,0
2016,Arizona,All Disabilities,119695,8270,111425,7372,7803,53830,3312,45570,1808,119695
2016,Arizona,Autism,11378,248,11130,394,630,3874,405,5706,369,11378
2016,Arizona,Deaf-blindness,113,3,110,7,6,49,3,47,1,113
2016,Arizona,Developmental delay,5898,965,4933,457,353,2932,195,1854,107,5898
2016,Arizona,Emotional disturbance,7315,131,7184,359,875,2171,280,3590,40,7315
2016,Arizona,Hearing impairment,1193,62,1131,66,48,626,27,390,36,1193
2016,Arizona,Intellectual disability,7258,227,7031,499,654,3608,152,2196,149,7258
2016,Arizona,Multiple disabilities,2205,33,2172,184,101,999,53,812,56,2205
2016,Arizona,Orthopedic impairment,574,38,536,27,30,222,10,269,16,574
2016,Arizona,Other health impairment,11324,360,10964,430,818,3660,370,5934,112,11324
2016,Arizona,Specific learning disability,54059,4348,49711,4052,3557,27657,1240,17015,538,54059
2016,Arizona,Speech or language impairment,17568,1824,15744,827,682,7734,559,7402,364,17568
2016,Arizona,Traumatic brain injury,316,16,300,35,18,128,7,125,3,316
2016,Arizona,Visual impairment,494,15,479,35,31,170,11,230,17,494
2016,Arkansas,All Disabilities,57318,4805,52513,402,13387,6151,1346,35330,702,57318
2016,Arkansas,Autism,4376,350,4026,27,632,436,119,3072,90,4376
2016,Arkansas,Deaf-blindness,3,0,3,0,2,0,1,0,0,3
2016,Arkansas,Developmental delay,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2016,Arkansas,Emotional disturbance,918,32,886,10,178,58,33,634,5,918
2016,Arkansas,Hearing impairment,457,69,388,3,85,82,9,248,30,457
2016,Arkansas,Intellectual disability,6418,565,5853,38,2224,701,124,3257,74,6418
2016,Arkansas,Multiple disabilities,1388,86,1302,11,293,143,24,895,22,1388
2016,Arkansas,Orthopedic impairment,186,12,174,3,30,15,3,130,5,186
2016,Arkansas,Other health impairment,11350,386,10964,65,2641,655,271,7666,52,11350
2016,Arkansas,Specific learning disability,19000,1848,17152,161,4572,2361,416,11329,161,19000
2016,Arkansas,Speech or language impairment,12845,1417,11428,81,2649,1658,341,7869,247,12845
2016,Arkansas,Traumatic brain injury,150,15,135,1,30,21,1,96,1,150
2016,Arkansas,Visual impairment,227,25,202,2,51,21,4,134,15,227
2016,Bureau of Indian Education,All Disabilities,6031,1143,4888,6031,0,0,0,0,0,6031
2016,Bureau of Indian Education,Autism,221,27,194,221,0,0,0,0,0,221
2016,Bureau of Indian Education,Deaf-blindness,0,0,0,0,0,0,0,0,0,0
2016,Bureau of Indian Education,Developmental delay,409,45,364,409,0,0,0,0,0,409
2016,Bureau of Indian Education,Emotional disturbance,264,49,215,264,0,0,0,0,0,264
2016,Bureau of Indian Education,Hearing impairment,46,7,39,46,0,0,0,0,0,46
2016,Bureau of Indian Education,Intellectual disability,339,54,285,339,0,0,0,0,0,339
2016,Bureau of Indian Education,Multiple disabilities,106,18,88,106,0,0,0,0,0,106
2016,Bureau of Indian Education,Orthopedic impairment,21,4,17,21,0,0,0,0,0,21
2016,Bureau of Indian Education,Other health impairment,580,117,463,580,0,0,0,0,0,580
2016,Bureau of Indian Education,Specific learning disability,3110,638,2472,3110,0,0,0,0,0,3110
2016,Bureau of Indian Education,Speech or language impairment,893,175,718,893,0,0,0,0,0,893
2016,Bureau of Indian Education,Traumatic brain injury,30,6,24,30,0,0,0,0,0,30
