year,state,disability,total_6to21,el_yes,el_no,aian,black,hisp,tworace,white,api,total_ethnicity
2017,Alabama,All Disabilities,82492,3052,79440,690,30770,4949,1656,43860,567,82492
2017,Alabama,Autism,7069,170,6899,42,2092,343,159,4351,82,7069
2017,Alabama,Deaf-blindness,13,0,13,0,1,0,0,12,0,13
2017,Alabama,Developmental delay,3316,210,3106,15,1267,293,88,1617,36,3316
2017,Alabama,Emotional disturbance,1365,10,1355,8,535,31,21,768,2,1365
2017,Alabama,Hearing impairment,942,62,880,8,311,94,11,497,21,942
2017,Alabama,Intellectual disability,6800,284,6516,33,3436,339,96,2845,51,6800
2017,Alabama,Multiple disabilities,1240,29,1211,6,459,66,19,672,18,1240
2017,Alabama,Orthopedic impairment,512,20,492,2,149,28,12,310,11,512
2017,Alabama,Other health impairment,12098,202,11896,100,4509,425,282,6725,57,12098
2017,Alabama,Specific learning disability,34899,1562,33337,341,13963,2502,625,17318,150,34899
2017,Alabama,Speech or language impairment,13488,475,13013,130,3797,783,325,8330,123,13488
2017,Alabama,Traumatic brain injury,268,8,260,1,98,14,8,146,1,268
2017,Alabama,Visual impairment,482,20,462,4,153,31,10,269,15,482
2017,Alaska,All Disabilities,16718,2496,14222,4733,569,1187,2182,7045,1002,16718
2017,Alaska,Autism,1380,105,1275,168,39,94,193,774,112,1380
2017,Alaska,Deaf-blindness,4,0,4,1,0,1,1,0,1,4
2017,Alaska,Developmental delay,1208,171,1037,359,37,82,187,464,79,1208
2017,Alaska,Emotional disturbance,707,43,664,163,18,39,114,358,15,707
2017,Alaska,Hearing impairment,162,19,143,46,8,9,16,59,24,162
2017,Alaska,Intellectual disability,581,127,454,232,22,40,57,177,53,581
2017,Alaska,Multiple disabilities,545,60,485,166,23,33,63,215,45,545
2017,Alaska,Orthopedic impairment,60,4,56,12,1,1,7,34,5,60
2017,Alaska,Other health impairment,2631,202,2429,647,114,175,376,1243,76,2631
2017,Alaska,Specific learning disability,7075,1459,5616,2312,266,554,877,2600,466,7075
2017,Alaska,Speech or language impairment,2292,300,1992,606,36,155,284,1089,122,2292
2017,Alaska,Traumatic brain injury,33,1,32,8,3,1,4,15,2,33
2017,Alaska,Visual impairment,40,5,35,13,2,3,3,17,2,40
2017,American Samoa,All Disabilities,599,599,0,0,NA,0,0,0,NA,0
2017,American Samoa,Autism,12,12,0,0,NA,0,0,0,NA,0
2017,American Samoa,Deaf-blindness,0,0,0,0,NA,0,0,0,NA,0
2017,American Samoa,Developmental delay,1,1,0,0,NA,0,0,0,NA,0
2017,American Samoa,Emotional disturbance,0,0,0,0,NA,0,0,0,NA,0
2017,American Samoa,Hearing impairment,6,6,0,0,NA,0,0,0,NA,0
2017,American Samoa,Intellectual disability,10,10,0,0,NA,0,0,0,NA,0
2017,American Samoa,Multiple disabilities,37,37,0,0,NA,0,0,0,NA,0
2017,American Samoa,Orthopedic impairment,7,7,0,0,NA,0,0,0,NA,0
2017,American Samoa,Other health impairment,0,0,0,0,NA,0,0,0,NA,0
2017,American Samoa,Specific learning disability,507,507,0,0,NA,0,0,0,NA,0
2017,American Samoa,Speech or language impairment,9,9,0,0,NA,0,0,0,NA,0
2017,American Samoa,Traumatic brain injury,0,0,0,0,NA,0,0,0,NA,0
2017,American Samoa,Visual impairment,10,10,0,0,NA,0,0,0,NA,0
2017,Arizona,All Disabilities,124185,9376,114809,7648,8164,56003,3688,46766,1916,124185
2017,Arizona,Autism,12311,356,11955,430,699,4267,446,6069,400,12311
2017,Arizona,Deaf-blindness,118,1,117,9,5,58,0,46,0,118
2017,Arizona,Developmental delay,6447,1018,5429,489,404,3143,233,2059,119,6447
2017,Arizona,Emotional disturbance,7551,179,7372,370,895,2294,295,3651,46,7551
2017,Arizona,Hearing impairment,1239,80,1159,80,48,648,29,397,37,1239
2017,Arizona,Intellectual disability,7462,324,7138,527,662,3766,158,2196,153,7462
2017,Arizona,Multiple disabilities,2190,44,2146,166,100,1014,57,798,55,2190
2017,Arizona,Orthopedic impairment,550,36,514,26,24,207,17,260,16,550
2017,Arizona,Other health impairment,12144,450,11694,448,899,3964,423,6302,108,12144
2017,Arizona,Specific learning disability,55643,4944,50699,4164,3681,28516,1397,17304,581,55643
2017,Arizona,Speech or language impairment,17714,1909,15805,863,695,7820,617,7340,379,17714
2017,Arizona,Traumatic brain injury,312,9,303,37,20,118,8,124,5,312
2017,Arizona,Visual impairment,504,26,478,39,32,188,8,220,17,504
2017,Arkansas,All Disabilities,59119,5179,53940,417,13760,6681,1441,36051,769,59119
2017,Arkansas,Autism,4713,387,4326,34,703,515,143,3212,106,4713
